varID,var10_1,var10_1a,var10_2,var10_3,var10_4,var10_5,var10_6,var10_7,var10_8,var10_9,var10_10,var10_10a,var10_11,var10_12,var10_13,var10_14,var10_15,var10_16,var10_17,var10_18,var10_19,var10_20,var10_20a,var10_21,var10_21a,var10_22,var10_23,var10_23a,var10_24,var10_25,var10_26,var10_26a,var10_27,var10_27a,var10_28,var10_28a,var10_29,var10_30,var10_30a,var10_31,var10_31a,var10_32,var10_32a,var10_33
3703020101,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,3,,0,2,,非常满意,是,"2,5",,,,"3,5",,是,4,,3,,2,,非常满意
3703020102,1,,是,是,是,是,2015,0,满意,是,4,粮经轮耕,否,否,.,,是,是,满意,是,是,,,2,,0,1,,满意,是,2,,,,"3,4",,是,7,垃圾桶,"1,2,3",,1,,满意
3703020103,1,,是,是,是,是,2005,2,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,4,,0,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020104,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,2,,0,1,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020105,1,,是,是,是,是,2010,2,满意,是,4,粮经轮作,否,否,.,,否,是,非常满意,是,是,,,2,,0,1,,满意,是,2,,,,3,,是,2,,"1,2,3",,1,,满意
3703020106,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020107,1,,是,是,是,是,2011,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,5,单独大桶,0,1,,非常满意,是,2,,"1,4",,,,是,1,,"1,2,3",,"1,4",,非常满意
3703020108,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,2,,非常满意,是,2,,,,3,,是,7,扔垃圾桶,"1,3",,3,,非常满意
3703020109,1,,是,是,是,是,2005,15,非常满意,否,,,,否,.,,是,是,非常满意,是,否,4,,1,,.,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020110,1,,是,是,是,是,2010,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,5,单独大桶,0,1,,满意,是,2,,,,"1,3",,是,7,扔垃圾桶,4,无,5,无人回收,非常满意
3703020111,1,,是,是,是,是,9999,0,满意,是,4,粮经轮作,否,否,.,,是,是,满意,是,是,,,1,,0,1,,满意,是,6,,,,"1,7",,是,4,,3,,1,,满意
3703020112,1,,是,是,是,是,2015,0,满意,否,,,,否,.,,是,是,满意,是,是,,,5,自己改造,1000,2,,满意,是,2,,,,"7,3",,是,4,,3,,"3,4",,满意
3703020201,1,,是,是,是,是,2018,0,满意,是,3,,否,否,.,,是,是,满意,是,是,,,2,,0,2,,满意,是,2,,,,"7,4",,是,4,,3,,"3,4",,满意
3703020202,1,,是,是,是,是,2003,0,非常满意,否,,,,否,.,,否,是,满意,是,是,,,2,,100,1,,非常满意,是,"1,2",,1,,"1,3",,是,1,,3,,3,,非常满意
3703020203,1,,是,是,是,是,2012,0,满意,否,,,,否,.,,是,是,满意,是,是,,,2,,0,5,村处理,非常满意,是,2,,,,"3,4",,是,7,垃圾桶,3,,"1,4",,满意
3703020204,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,2,,非常满意,是,1,,8,收购,1,,是,6,,3,,3,,非常满意
3703020205,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,2,,0,1,,非常满意,是,2,,,,3,,是,2,,"1,2,3",,1,,非常满意
3703020206,1,,是,是,是,是,2019,0,非常不满意,否,,,,否,.,,是,是,非常满意,是,是,,,2,,0,1,,非常满意,是,2,,,,"1,3,4",,是,4,,"1,3",,"1,4",,非常满意
3703020207,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,5,污水处理厂,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020208,6,净化水,是,是,是,是,2005,3,非常不满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703020209,1,,是,是,是,是,2005,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,1,,0,2,,非常满意,否,,,,,,,否,,,,,,,非常不满意
3703020210,1,,是,是,是,是,9999,15,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,5,村里处理站,非常满意,是,2,,,,3,,是,7,垃圾箱,"1,2,3",,2,,非常满意
3703020211,1,,是,是,是,是,2010,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,5,抽水马桶,0,2,,非常满意,是,2,,,,"1,3",,是,6,,"1,3",,2,,满意
3703020212,1,,是,是,是,是,2019,2,一般,否,,,,否,.,,否,是,满意,是,是,,,9999,,0,1,,满意,是,6,,,,1,,是,4,,3,,1,,非常满意
3703030101,3,,是,是,是,是,2020,0,满意,否,,,,否,.,,否,是,非常满意,是,是,,,2,,0,2,,非常满意,是,2,,,,3,,是,4,,4,无,9999,,非常满意
3703030102,1,,是,是,是,是,2000,0,满意,否,,,,否,.,,是,是,满意,是,是,,,5,楼房,0,1,,满意,是,2,,,,1,,是,2,,1,,1,,满意
3703030103,3,,是,是,是,否,,0,一般,是,4,粮经轮作,否,否,.,,是,是,一般,否,,,,,,0,1,,满意,是,2,,,,"3,4",,是,6,,"1,2",,1,,满意
3703030104,1,,是,是,是,是,2000,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,2,,0,2,,非常满意,是,2,,,,3,,是,4,,3,,1,,非常满意
3703030105,1,,是,是,是,是,2019,0,一般,否,,,,否,.,,否,是,满意,是,是,,,2,,0,1,,满意,是,2,,,,3,,是,6,,3,,3,,非常满意
3703030106,1,,是,是,是,是,2001,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,2,,0,1,,非常满意,是,2,,,,"1,3",,是,4,,"1,3",,4,,非常满意
3703030107,1,,是,是,是,是,2005,2,满意,是,4,粮经轮作,否,否,.,,否,是,满意,是,是,,,2,,0,2,,非常满意,是,2,,,,3,,是,2,,"1,3",,1,,满意
3703030108,1,,是,是,是,是,1980,0,非常满意,是,4,粮经轮作,,否,.,,否,是,非常满意,是,是,,,5,单独木桶,0,2,,非常满意,是,2,,,,"1,3,6",,是,4,,"1,2,3",,"1,4",,非常满意
3703030109,1,,是,是,是,是,2000,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,5,大桶,0,2,,非常满意,是,2,,,,"3,4",,是,3,,3,,2,,非常满意
3703030110,1,,是,是,是,是,9999,9999,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,1,,非常满意,是,2,,,,3,,是,7,扔垃圾筒,"1,3",,2,,非常满意
3703030111,3,,否,是,是,否,,.,不太满意,否,,,,否,.,,是,是,非常满意,否,,,,,,.,1,,非常满意,否,,,,,,,是,6,,"1,2,3",,2,,非常满意
3703030112,1,,是,是,是,是,9999,0,满意,否,,,,否,.,,否,是,满意,是,是,,,9999,,0,1,,非常满意,是,2,,,,3,,是,4,,3,,1,,满意
3703030201,1,,否,是,是,是,2015,2,不太满意,否,,,,否,.,,是,是,满意,否,,,,,,.,2,,满意,是,2,,,,"1,3",,是,4,,2,,2,,满意
3703030202,1,,是,是,是,是,9999,0,满意,否,,,,否,.,,是,是,满意,是,是,,,2,,0,1,,满意,是,2,,,,"3,4",,是,7,垃圾桶,3,,1,,满意
3703030203,1,,是,是,是,是,2010,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,9999,,0,2,,非常满意,是,2,,,,3,,是,6,,3,,1,,非常满意
3703030204,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,2,,0,1,,非常满意,是,2,,,,"1,3,4",,是,6,,3,,4,,非常满意
3703030205,1,,是,是,是,是,9999,2,不太满意,是,4,粮经轮作,否,否,.,,否,是,满意,是,是,,,2,,0,2,,满意,是,2,,,,3,,是,2,,3,,1,,非常不满意
3703030206,3,,否,是,是,是,2010,0,满意,否,,,,否,.,,否,是,满意,是,是,,,5,单独大桶,0,1,,非常满意,否,,,,,,,是,6,,"1,2,3",,"1,4",,非常满意
3703030207,1,,否,是,是,是,2020,0,非常不满意,否,,,,否,.,,否,是,非常满意,是,是,,,5,大桶,0,2,,非常满意,是,2,,,,"3,4",,是,4,,3,,2,,非常满意
3703030208,1,,是,是,是,是,2006,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,1,,0,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703030209,1,,是,是,是,是,2001,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,5,无污水,非常满意,否,,,,,,,否,,,,,,,非常满意
3703030210,1,,是,是,是,是,9999,0,满意,否,,,,否,.,,否,是,满意,是,是,,,9999,,0,1,,非常满意,是,2,,,,3,,是,4,,3,,2,,满意
3703030211,1,,是,是,是,是,2002,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,2,,0,2,,非常满意,是,2,,,,1,,是,4,,3,,2,,非常满意
3703030212,2,,是,是,是,否,,0,满意,否,,,否,否,.,,是,是,满意,是,是,,,2,,0,1,,满意,否,,,,,,,是,4,,3,,"2,4",,满意
3703010101,1,,是,是,是,是,2008,0,满意,是,4,粮经轮作,否,否,.,,是,是,满意,是,是,,,1,,0,5,??水池,满意,是,2,,,,"3,4",,是,6,,"1,2",,"1,4",,满意
3703010102,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,是,是,非常满意,是,是,,,2,,0,1,,非常满意,是,2,,,,"1,3",,是,4,,"1,2,3",,2,,非常满意
3703010103,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,2,,非常满意,是,2,,,,1,,是,6,,"1,3",,1,,非常满意
3703010104,1,,是,是,是,是,9999,0,满意,否,,,,否,.,,是,是,满意,是,是,,,2,,0,1,,非常满意,是,2,,,,"1,3,4",,是,4,,"1,3",,1,,满意
3703010105,1,,是,是,是,是,2017,2,非常满意,否,,,,否,.,,否,是,非常满意,否,,,,,,.,2,,非常满意,否,,,,,,,否,,,,,,,非常满意
3703010106,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,5,单独大桶,0,2,,非常满意,是,2,,,,"1,3",,是,4,,"1,2,3",,1,,非常满意
3703010107,1,,是,是,是,是,9999,0,非常满意,否,,,,否,.,,否,是,非常满意,是,是,,,1,,0,1,,非常满意,是,2,,,,"3,4",,是,6,,"1,2,3",,5,无人收,非常满意
3703010108,1,,是,是,是,是,2019,0,满意,否,,,,否,.,,否,是,非常满意,是,是,,,3,,0,3,,非常满意,是,2,,,,"3,4",,是,4,,3,,2,,非常满意
3703010109,1,,是,是,是,是,2019,0,非常满意,否,,,,否,.,,否,是,满意,是,是,,,3,,0,2,,非常满意,是,2,,,,1,,是,6,,3,,4,,满意
