varID,land_area,plot_num,tillage_mech_ratio,chem_fert_kg_per_mu,organic_fert_buy,irrigated_area_ratio,mobile_hours_per_day,can_get_info_online,organic_fert_total,internet_training,e_commerce,ag_insurance,bank_credit_user,applied_bank_loan,trade_credit,safe_drinking_water,garbage_sorting,garbage_central_treatment,sanitary_toilet,health_knowledge_learning,has_checkup,straw_utilized,pesticide_pack_safe,diet_control_score
2301010101,4.703128949300426,4.464125798194195,0.32790244859925843,-0.05076734062015652,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010102,2.871551426724457,1.7143249835858834,0.32790244859925843,-0.27317154059165244,-0.14053317218810496,-2.370572787663085,3.0570557001912255,-0.38723277674457784,-0.23964576060793996,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010103,1.5283945768354128,0.24776454912811705,0.32790244859925843,-0.4214410072393164,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,-0.38723277674457784,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2301010104,0.7957635678050253,0.06444449482089626,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,-1.6063107982343376,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2301010105,0.8568161518908909,0.24776454912811705,0.32790244859925843,0.1716368593513394,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,-1.6063107982343376,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010106,0.5515532314615628,0.6144046577425586,0.32790244859925843,0.09750212602750744,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2301010107,-0.4252881139122873,-1.0354758310224286,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010108,4.703128949300426,0.6144046577425586,0.32790244859925843,-0.19903680726782047,0.008779949189611313,-2.1834581818212753,-0.7842554978792702,0.8318452447451818,-0.22522189440235635,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010109,-0.31539346255772915,-0.3021956137935453,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010110,0.6003952987302553,0.06444449482089626,0.32790244859925843,-0.4955757405631484,-0.14053317218810496,-2.370572787663085,-0.7842554978792702,-0.38723277674457784,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2301010111,0.10220621258959177,-0.3021956137935453,0.32790244859925843,-0.27317154059165244,-0.14053317218810496,-2.370572787663085,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2301010112,-0.4252881139122873,-0.3021956137935453,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.23964576060793996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2301010201,0.869026668708064,0.43108460343533783,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,0.4347436417493552,0.6562362013971657,0.8318452447451818,-0.23964576060793996,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2301010202,1.235342173223258,0.24776454912811705,0.32790244859925843,0.023367392703675455,-0.14053317218810496,-2.370572787663085,-0.7842554978792702,-1.6063107982343376,-0.23964576060793996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010203,3.6041824357548444,0.06444449482089626,0.32790244859925843,-0.19903680726782047,-0.14053317218810496,-2.370572787663085,1.1364001011559777,0.8318452447451818,-0.23964576060793996,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
